id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17720616,Indulge and Relax Tanunda,23229905,Cathy,,Tanunda,-34.5199,138.96494,Entire home/apt,231,1,180,2022-09-18,2.85,1,295,49,
17737018,The Stables at 1860 Wine Country Cottages,97913320,Renate,,Springton,-34.72248,139.06794,Entire home/apt,195,3,0,,,1,0,0,
17862552,"""LiebenGott"" - Luxury 4 bedroom, central location",10112369,Jason,,Tanunda,-34.51015,138.97783,Entire home/apt,331,1,117,2022-09-04,1.82,1,310,31,
17963507,"The Writer's Studio, Barossa",12063415,Lesley Ann,,Tanunda,-34.52511,138.96518,Entire home/apt,149,2,322,2022-09-19,4.85,1,134,56,
17980547,Martinsell Cottage Barossa Valley,123514866,Peter And Marijan,,Mount Crawford,-34.65127498802909,138.97806003489265,Entire home/apt,145,2,174,2022-09-18,2.64,2,297,39,
18276899,Historic home on 65 acres in top Barossa location,32743215,Veritas Retreat Barossa,,Tanunda,-34.50639,138.96237,Entire home/apt,345,2,42,2022-09-11,0.65,2,267,18,
18798879,Hill House Angaston,98267463,Mark,,Angaston,-34.50284,139.04411,Private room,150,2,58,2022-09-18,0.93,1,119,17,
19817750,Country Retreat on the edge of Barossa Valley,139798846,Maureen,,Mount Pleasant,-34.77475,139.04702,Entire home/apt,315,2,79,2022-09-12,1.29,1,91,12,
20002372,"Boongarrie Luxury Tent - privacy, luxury, nature",15326510,Kate,,Flaxman Valley,-34.61,139.06722,Entire home/apt,263,2,184,2022-09-11,3.13,1,319,66,
20057093,Miriam's Cottage self contained Bed and Breakfast,142521667,Alicia,,Tanunda,-34.51922,138.96131,Entire home/apt,292,2,116,2022-09-21,1.99,1,252,32,
20079805,Azalea Cedar-Rose Barossa Vineyard Views Villa,11110185,Suzie,,Lyndoch,-34.60384,138.89156,Entire home/apt,419,2,53,2022-09-19,0.86,2,272,11,
20144446,Jasmine's Cottage Barossa Valley Vineyard Views,11110185,Suzie,,Lyndoch,-34.60458,138.89126,Entire home/apt,311,2,56,2022-09-20,0.92,2,301,19,
20175507,Your complete Barossa experience for up to 16,9380091,Kym,,Tanunda,-34.52852,138.95372,Entire home/apt,1920,1,3,2020-06-28,0.06,17,28,0,
20176443,Barossa Dreams and Apartments perfect for groups,9380091,Kym,,Tanunda,-34.52656,138.95249,Entire home/apt,2800,1,0,,,17,0,0,
20400581,Cantik Cottage,76200578,Justin & Lucy,,Buchfelde,-34.60891,138.73975,Entire home/apt,121,2,154,2022-09-19,2.72,1,1,41,
21481807,"Pinecone Ridge, Barossa - a rural retreat",156029245,Anne,,Angaston,-34.51496,139.04008,Entire home/apt,434,2,76,2022-09-15,1.89,1,258,19,
21636564,"Pembury Cottage ~ Angaston,  Great location in the Barossa  Valley",26147078,Jonathan And Kate,,Angaston,-34.50094,139.05146,Entire home/apt,281,2,140,2022-09-12,2.38,6,301,32,
21884875,Luxury In Langmeil Estate,159654113,Pauline,,Tanunda,-34.51356,138.96883,Entire home/apt,302,2,162,2022-09-18,2.79,1,280,33,
22294732,Hutton Vale Farm - Hutch Hilton,106868811,Jan,,Angaston,-34.52053,139.10934,Entire home/apt,490,1,62,2022-09-13,1.11,2,271,16,
22309764,Discovery Parks - Barossa 3 Bedroom House,163098800,Barossa,,Tanunda,-34.53202,138.95014,Entire home/apt,424,2,16,2022-04-29,0.28,1,263,4,
22439114,"Candlepine Holiday House, Gawler SA",71411970,Mike And Annie,,Hewett,-34.59271,138.74581,Entire home/apt,175,2,6,2022-05-05,0.13,1,217,2,
22602973,Jesmond Dene - Barossa,121293939,Richard,,Angaston,-34.50589,139.04655,Entire home/apt,190,2,14,2022-05-07,0.35,1,345,8,
22604785,Old Barossa Valley Inn & Bakery House..Get it all!,92198370,Heather,,Lyndoch,-34.60358,138.88701,Entire home/apt,199,2,124,2022-09-20,2.22,2,150,28,
22636387,Martinsell Manor  Barossa Valley South Australia,123514866,Peter And Marijan,,Mount Crawford,-34.68339,138.97258,Private room,390,2,28,2022-07-10,0.61,2,332,11,
22794701,Linfield Cottage,68592337,Deb,,Williamstown,-34.68024,138.88156,Entire home/apt,340,2,10,2022-09-04,0.19,1,109,3,
22855141,WHISTLER VINEYARD RETREAT,111063419,Sally,,Tanunda,-34.49014,138.95693,Entire home/apt,290,2,70,2022-08-15,1.27,1,28,17,
23129296,"Angel's Rest, Barossa",171879991,Dennis,,Moculta,-34.40945,139.12577,Entire home/apt,110,1,88,2022-08-20,1.58,1,139,19,
24173232,The Entertainer in the hub of Barossa!,142166512,Monica,,Tanunda,-34.51149,138.97461,Entire home/apt,950,2,30,2020-03-23,0.66,1,78,0,
24813904,Ambrosia Holiday Home 5 bedrooms 2 1/2 bathrooms,9380091,Kym,,Tanunda,-34.52454,138.95933,Entire home/apt,850,2,25,2020-12-23,0.48,17,294,0,
25086405,Villa Maria Barossa Luxury Guesthouse,189642977,Tuoi,,Tanunda,-34.52569,138.95538,Entire home/apt,500,2,18,2022-09-05,0.35,1,239,6,
25893345,Barossa Dreams great location for up to 15,9380091,Kym,,Tanunda,-34.52685,138.95211,Entire home/apt,1500,2,3,2021-03-07,0.09,17,1,0,
25903419,"1881 Courthouse, Judge's Chamber",33964673,Natalie,,Buchfelde,-34.59702,138.74652,Entire home/apt,156,1,405,2022-09-15,7.83,3,307,107,
